conference,year,source_id,source_name,n_votes
SIGMETRICS,2018,https://openalex.org/S4210193547,Proceedings of the ACM on Measurement and Analysis of Computing Systems,1
SIGMOD,2000,,,0
SIGMOD,2001,,,0
SIGMOD,2003,,,0
SIGMOD,2004,,,0
SIGMOD,2006,https://openalex.org/S4306401019,ePrints Soton (University of Southampton),1
SIGMOD,2007,,,0
SIGMOD,2008,https://openalex.org/S90119964,ACM Transactions on Database Systems,1
SIGMOD,2009,,,0
SIGMOD,2010,,,0
SIGMOD,2011,,,0
SIGMOD,2012,,,0
SIGMOD,2013,,,0
SIGMOD,2014,,,0
SIGMOD,2015,,,0
SIGMOD,2016,,,0
SIGMOD,2017,,,0
SIGMOD,2018,,,0
SODA,2009,https://openalex.org/S4306420974,Symposium on Discrete Algorithms,1
SODA,2010,,,0
SODA,2011,https://openalex.org/S137348503,ACM Transactions on Algorithms,1
SODA,2012,https://openalex.org/S118992489,Journal of the ACM,1
SODA,2013,,,0
SODA,2014,https://openalex.org/S118992489,Journal of the ACM,1
SODA,2015,,,0
SODA,2016,https://openalex.org/S137348503,ACM Transactions on Algorithms,1
SODA,2017,https://openalex.org/S4306420974,Symposium on Discrete Algorithms,1
SODA,2018,https://openalex.org/S162708223,Atmospheric chemistry and physics,2
SOSP,2001,,,0
SOSP,2003,https://openalex.org/S50071195,ACM SIGOPS Operating Systems Review,2
SOSP,2005,https://openalex.org/S50071195,ACM SIGOPS Operating Systems Review,2
SOSP,2007,https://openalex.org/S193109227,ACM Transactions on Computer Systems,1
SOSP,2009,https://openalex.org/S4377196481,UNSWorks (UNSW Sydney),1
SOSP,2011,https://openalex.org/S162176842,BioMedical Engineering OnLine,2
SOSP,2013,,,0
SOSP,2015,https://openalex.org/S193109227,ACM Transactions on Computer Systems,1
SOSP,2017,https://openalex.org/S4210227886,GetMobile Mobile Computing and Communications,1
STOC,2003,,,0
STOC,2004,,,0
STOC,2005,,,0
STOC,2006,,,0
STOC,2007,https://openalex.org/S118992489,Journal of the ACM,1
STOC,2008,,,0
STOC,2009,,,0
STOC,2010,,,0
STOC,2011,,,0
STOC,2012,,,0
STOC,2013,https://openalex.org/S118992489,Journal of the ACM,1
STOC,2014,,,0
STOC,2015,,,0
STOC,2016,,,0
STOC,2017,,,0
STOC,2018,,,0
UIST,2000,,,0
UIST,2001,,,0
UIST,2002,,,0
UIST,2003,,,0
UIST,2004,https://openalex.org/S137146891,Laboratory Investigation,1
UIST,2005,,,0
UIST,2006,,,0
UIST,2007,,,0
UIST,2008,,,0
UIST,2009,,,0
UIST,2010,,,0
UIST,2011,,,0
UIST,2012,,,0
UIST,2013,,,0
UIST,2014,,,0
UIST,2015,,,0
UIST,2016,,,0
UIST,2017,,,0
UIST,2018,,,0
VLDB,2001,https://openalex.org/S4306421142,Very Large Data Bases,1
VLDB,2004,https://openalex.org/S4306463230,Elsevier eBooks,1
VLDB,2005,https://openalex.org/S4306421142,Very Large Data Bases,1
VLDB,2006,https://openalex.org/S4306421142,Very Large Data Bases,1
VLDB,2007,,,0
VLDB,2008,https://openalex.org/S106296714,Lecture notes in computer science,2
VLDB,2009,https://openalex.org/S78926909,The VLDB Journal,1
VLDB,2010,https://openalex.org/S78926909,The VLDB Journal,1
VLDB,2011,https://openalex.org/S78926909,The VLDB Journal,1
VLDB,2012,https://openalex.org/S78926909,The VLDB Journal,1
VLDB,2013,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,1
VLDB,2014,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,3
VLDB,2015,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,1
VLDB,2016,https://openalex.org/S78926909,The VLDB Journal,1
VLDB,2017,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,1
VLDB,2018,https://openalex.org/S2595095599,Frontiers in Robotics and AI,1
WWW,2000,https://openalex.org/S63392143,Computer Networks,1
WWW,2001,,,0
WWW,2002,,,0
WWW,2003,https://openalex.org/S2737205702,Journal of Bioresource Management,1
WWW,2004,,,0
WWW,2005,,,0
WWW,2006,,,0
WWW,2007,https://openalex.org/S103482838,Communications of the ACM,1
WWW,2008,,,0
WWW,2009,,,0
WWW,2010,,,0
WWW,2011,,,0
WWW,2012,,,0
WWW,2013,,,0
WWW,2014,,,0
WWW,2015,,,0
WWW,2016,,,0
WWW,2018,,,0
