conference,year,source_id,source_name,source_type,n_award_papers,n_resolved,n_votes_for_winner,vote_agreement,status
PODS,2018,,,,1,0,0,,UNRESOLVED
S&P,2008,https://openalex.org/S4210233669,Proceedings - IEEE Symposium on Security and Privacy/Proceedings of the ... IEEE Symposium on Security and Privacy,journal,1,1,1,1.0,RESOLVED
S&P,2009,https://openalex.org/S103482838,Communications of the ACM,journal,1,1,1,1.0,RESOLVED
S&P,2010,,,,1,0,0,,UNRESOLVED
S&P,2013,https://openalex.org/S103482838,Communications of the ACM,journal,1,1,1,1.0,RESOLVED
S&P,2014,https://openalex.org/S103482838,Communications of the ACM,journal,1,1,1,1.0,RESOLVED
S&P,2015,https://openalex.org/S103482838,Communications of the ACM,journal,2,2,1,0.5,RESOLVED
S&P,2016,,,,1,0,0,,UNRESOLVED
S&P,2017,https://openalex.org/S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),repository,1,1,1,1.0,RESOLVED
S&P,2018,https://openalex.org/S4306400024,UCL Discovery (University College London),repository,2,2,1,0.5,RESOLVED
SIGCOMM,2009,,,,1,0,0,,UNRESOLVED
SIGCOMM,2010,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,journal,1,1,1,1.0,RESOLVED
SIGCOMM,2011,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,1,1,1,1.0,RESOLVED
SIGCOMM,2012,https://openalex.org/S7407050879,UC Berkeley,repository,1,1,1,1.0,RESOLVED
SIGCOMM,2013,,,,1,0,0,,UNRESOLVED
SIGCOMM,2014,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,journal,2,2,2,1.0,RESOLVED
SIGCOMM,2015,https://openalex.org/S4306401902,"Digital Access to Libraries (Université catholique de Louvain (UCL), l'Université de Namur (UNamur) and the Université Saint-Louis (USL-B))",repository,1,1,1,1.0,RESOLVED
SIGCOMM,2016,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,journal,3,3,1,0.33,RESOLVED
SIGCOMM,2017,https://openalex.org/S4306400024,UCL Discovery (University College London),repository,2,2,1,0.5,RESOLVED
SIGCOMM,2018,https://openalex.org/S4306400944,Research Commons (University of Waikato),repository,1,1,1,1.0,RESOLVED
SIGIR,2000,https://openalex.org/S6756005,ACM SIGIR Forum,journal,1,1,1,1.0,RESOLVED
SIGIR,2001,,,,1,0,0,,UNRESOLVED
SIGIR,2002,,,,1,0,0,,UNRESOLVED
SIGIR,2003,https://openalex.org/S4306402226,Strathprints: The University of Strathclyde institutional repository (University of Strathclyde),repository,1,1,1,1.0,RESOLVED
SIGIR,2004,,,,1,0,0,,UNRESOLVED
SIGIR,2005,,,,1,0,0,,UNRESOLVED
SIGIR,2006,https://openalex.org/S4306402240,ScholarWorks@UMassAmherst (University of Massachusetts Amherst),repository,1,1,1,1.0,RESOLVED
SIGIR,2007,,,,1,0,0,,UNRESOLVED
SIGIR,2008,,,,1,0,0,,UNRESOLVED
SIGIR,2009,,,,1,0,0,,UNRESOLVED
SIGIR,2010,,,,1,0,0,,UNRESOLVED
SIGIR,2011,,,,1,0,0,,UNRESOLVED
SIGIR,2012,,,,1,0,0,,UNRESOLVED
SIGIR,2013,,,,1,0,0,,UNRESOLVED
SIGIR,2014,https://openalex.org/S7407055261,ISTI Open Portal,repository,1,1,1,1.0,RESOLVED
SIGIR,2015,https://openalex.org/S4377196265,CINECA IRIS Institutial research information system (University of Pisa),repository,1,1,1,1.0,RESOLVED
SIGIR,2016,https://openalex.org/S4210235606,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),journal,1,1,1,1.0,RESOLVED
SIGIR,2017,https://openalex.org/S4306402636,Oxford University Research Archive (ORA) (University of Oxford),repository,1,1,1,1.0,RESOLVED
SIGIR,2018,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2004,https://openalex.org/S4210187660,ACM SIGMETRICS Performance Evaluation Review,journal,1,1,1,1.0,RESOLVED
SIGMETRICS,2005,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,journal,1,1,1,1.0,RESOLVED
SIGMETRICS,2006,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2007,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2008,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2009,https://openalex.org/S4306462833,Amsterdam University Press eBooks,ebook platform,1,1,1,1.0,RESOLVED
SIGMETRICS,2010,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2011,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2012,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2013,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,1,1,1,1.0,RESOLVED
SIGMETRICS,2014,https://openalex.org/S4306400088,UvA-DARE (University of Amsterdam),repository,1,1,1,1.0,RESOLVED
SIGMETRICS,2015,https://openalex.org/S4210187660,ACM SIGMETRICS Performance Evaluation Review,journal,1,1,1,1.0,RESOLVED
SIGMETRICS,2016,,,,1,0,0,,UNRESOLVED
SIGMETRICS,2017,https://openalex.org/S4306401396,Spiral (Imperial College London),repository,1,1,1,1.0,RESOLVED
SIGMETRICS,2018,https://openalex.org/S4210193547,Proceedings of the ACM on Measurement and Analysis of Computing Systems,journal,1,1,1,1.0,RESOLVED
SIGMOD,2000,,,,1,0,0,,UNRESOLVED
SIGMOD,2001,,,,1,0,0,,UNRESOLVED
SIGMOD,2003,,,,1,0,0,,UNRESOLVED
SIGMOD,2004,https://openalex.org/S4377196297,cIRcle (University of British Columbia),repository,1,1,1,1.0,RESOLVED
SIGMOD,2006,https://openalex.org/S4306401019,ePrints Soton (University of Southampton),repository,1,1,1,1.0,RESOLVED
SIGMOD,2007,,,,2,0,0,,UNRESOLVED
SIGMOD,2008,https://openalex.org/S90119964,ACM Transactions on Database Systems,journal,2,1,1,1.0,RESOLVED
SIGMOD,2009,,,,1,0,0,,UNRESOLVED
SIGMOD,2010,,,,1,0,0,,UNRESOLVED
SIGMOD,2011,,,,1,0,0,,UNRESOLVED
SIGMOD,2012,,,,1,0,0,,UNRESOLVED
SIGMOD,2013,https://openalex.org/S4306402388,Queensland's institutional digital repository (The University of Queensland),repository,1,1,1,1.0,RESOLVED
SIGMOD,2014,,,,1,0,0,,UNRESOLVED
SIGMOD,2015,,,,1,0,0,,UNRESOLVED
SIGMOD,2016,https://openalex.org/S4306401796,Rare & Special e-Zone (The Hong Kong University of Science and Technology),repository,1,1,1,1.0,RESOLVED
SIGMOD,2017,https://openalex.org/S4406922455,Edinburgh Research Explorer,repository,1,1,1,1.0,RESOLVED
SIGMOD,2018,,,,1,0,0,,UNRESOLVED
SODA,2009,https://openalex.org/S4306420974,Symposium on Discrete Algorithms,conference,1,1,1,1.0,RESOLVED
SODA,2010,,,,1,0,0,,UNRESOLVED
SODA,2011,https://openalex.org/S137348503,ACM Transactions on Algorithms,journal,1,1,1,1.0,RESOLVED
SODA,2012,https://openalex.org/S118992489,Journal of the ACM,journal,1,1,1,1.0,RESOLVED
SODA,2013,https://openalex.org/S4306401983,Research at the University of Copenhagen (University of Copenhagen),repository,2,1,1,1.0,RESOLVED
SODA,2014,https://openalex.org/S118992489,Journal of the ACM,journal,2,2,1,0.5,RESOLVED
SODA,2015,,,,1,0,0,,UNRESOLVED
SODA,2016,https://openalex.org/S137348503,ACM Transactions on Algorithms,journal,2,1,1,1.0,RESOLVED
SODA,2017,https://openalex.org/S4306420974,Symposium on Discrete Algorithms,conference,1,1,1,1.0,RESOLVED
SODA,2018,https://openalex.org/S162708223,Atmospheric chemistry and physics,journal,2,2,1,0.5,RESOLVED
SOSP,2001,,,,2,0,0,,UNRESOLVED
SOSP,2003,https://openalex.org/S50071195,ACM SIGOPS Operating Systems Review,journal,3,2,2,1.0,RESOLVED
SOSP,2005,https://openalex.org/S50071195,ACM SIGOPS Operating Systems Review,journal,3,2,1,0.5,RESOLVED
SOSP,2007,https://openalex.org/S193109227,ACM Transactions on Computer Systems,journal,3,2,1,0.5,RESOLVED
SOSP,2009,https://openalex.org/S4377196481,UNSWorks (UNSW Sydney),repository,1,1,1,1.0,RESOLVED
SOSP,2011,https://openalex.org/S162176842,BioMedical Engineering OnLine,journal,2,2,1,0.5,RESOLVED
SOSP,2013,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,3,1,1,1.0,RESOLVED
SOSP,2015,https://openalex.org/S193109227,ACM Transactions on Computer Systems,journal,3,2,1,0.5,RESOLVED
SOSP,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,2,2,1,0.5,RESOLVED
STOC,2003,,,,2,0,0,,UNRESOLVED
STOC,2004,https://openalex.org/S118992489,Journal of the ACM,journal,2,1,1,1.0,RESOLVED
STOC,2005,https://openalex.org/S11189987,Electronic colloquium on computational complexity,journal,1,1,1,1.0,RESOLVED
STOC,2006,https://openalex.org/S118992489,Journal of the ACM,journal,1,1,1,1.0,RESOLVED
STOC,2007,https://openalex.org/S118992489,Journal of the ACM,journal,2,1,1,1.0,RESOLVED
STOC,2008,,,,2,0,0,,UNRESOLVED
STOC,2009,,,,2,0,0,,UNRESOLVED
STOC,2010,https://openalex.org/S7407052290,National University of Singapore,repository,2,2,1,0.5,RESOLVED
STOC,2011,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,2,1,1,1.0,RESOLVED
STOC,2012,https://openalex.org/S4306400088,UvA-DARE (University of Amsterdam),repository,2,1,1,1.0,RESOLVED
STOC,2013,https://openalex.org/S118992489,Journal of the ACM,journal,2,1,1,1.0,RESOLVED
STOC,2014,,,,1,0,0,,UNRESOLVED
STOC,2015,,,,3,0,0,,UNRESOLVED
STOC,2016,https://openalex.org/S45918994,Annals of Mathematics,journal,3,2,1,0.5,RESOLVED
STOC,2017,https://openalex.org/S4306509107,Electron. Colloquium Comput. Complex.,journal,3,3,1,0.33,RESOLVED
STOC,2018,https://openalex.org/S4306400050,London School of Economics and Political Science Theses Online (London School of Economics and Political Science),repository,1,1,1,1.0,RESOLVED
UIST,2000,,,,1,0,0,,UNRESOLVED
UIST,2001,,,,1,0,0,,UNRESOLVED
UIST,2002,,,,1,0,0,,UNRESOLVED
UIST,2003,,,,1,0,0,,UNRESOLVED
UIST,2004,https://openalex.org/S137146891,Laboratory Investigation,journal,2,1,1,1.0,RESOLVED
UIST,2005,,,,1,0,0,,UNRESOLVED
UIST,2006,,,,1,0,0,,UNRESOLVED
UIST,2007,,,,1,0,0,,UNRESOLVED
UIST,2008,,,,1,0,0,,UNRESOLVED
UIST,2009,,,,1,0,0,,UNRESOLVED
UIST,2010,https://openalex.org/S4210172555,Journal of International Crisis and Risk Communication Research,journal,1,1,1,1.0,RESOLVED
UIST,2011,,,,1,0,0,,UNRESOLVED
UIST,2012,,,,2,0,0,,UNRESOLVED
UIST,2013,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,3,1,1,1.0,RESOLVED
UIST,2014,,,,3,0,0,,UNRESOLVED
UIST,2015,https://openalex.org/S4306402591,Edinburgh Napier Research Repository (Edinburgh Napier University),repository,3,2,1,0.5,RESOLVED
UIST,2016,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,4,3,1,0.33,RESOLVED
UIST,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,3,1,1,1.0,RESOLVED
UIST,2018,https://openalex.org/S4210197018,View,journal,3,1,1,1.0,RESOLVED
VLDB,2001,https://openalex.org/S4306400487,Infoscience (Ecole Polytechnique Fédérale de Lausanne),repository,1,1,1,1.0,RESOLVED
VLDB,2004,https://openalex.org/S4306463230,Elsevier eBooks,ebook platform,1,1,1,1.0,RESOLVED
VLDB,2005,https://openalex.org/S4306421142,Very Large Data Bases,conference,1,1,1,1.0,RESOLVED
VLDB,2006,https://openalex.org/S4306421142,Very Large Data Bases,conference,1,1,1,1.0,RESOLVED
VLDB,2007,,,,1,0,0,,UNRESOLVED
VLDB,2008,https://openalex.org/S106296714,Lecture notes in computer science,book series,2,2,1,0.5,RESOLVED
VLDB,2009,https://openalex.org/S78926909,The VLDB Journal,journal,1,1,1,1.0,RESOLVED
VLDB,2010,https://openalex.org/S78926909,The VLDB Journal,journal,1,1,1,1.0,RESOLVED
VLDB,2011,https://openalex.org/S78926909,The VLDB Journal,journal,1,1,1,1.0,RESOLVED
VLDB,2012,https://openalex.org/S78926909,The VLDB Journal,journal,1,1,1,1.0,RESOLVED
VLDB,2013,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,journal,1,1,1,1.0,RESOLVED
VLDB,2014,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,journal,5,5,2,0.4,RESOLVED
VLDB,2015,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,journal,1,1,1,1.0,RESOLVED
VLDB,2016,https://openalex.org/S78926909,The VLDB Journal,journal,1,1,1,1.0,RESOLVED
VLDB,2017,https://openalex.org/S4210226185,Proceedings of the VLDB Endowment,journal,1,1,1,1.0,RESOLVED
VLDB,2018,https://openalex.org/S2595095599,Frontiers in Robotics and AI,journal,1,1,1,1.0,RESOLVED
WWW,2000,https://openalex.org/S63392143,Computer Networks,journal,1,1,1,1.0,RESOLVED
WWW,2001,,,,1,0,0,,UNRESOLVED
WWW,2002,,,,1,0,0,,UNRESOLVED
WWW,2003,https://openalex.org/S2737205702,Journal of Bioresource Management,journal,2,1,1,1.0,RESOLVED
WWW,2004,,,,1,0,0,,UNRESOLVED
WWW,2005,,,,1,0,0,,UNRESOLVED
WWW,2006,,,,1,0,0,,UNRESOLVED
WWW,2007,https://openalex.org/S103482838,Communications of the ACM,journal,1,1,1,1.0,RESOLVED
WWW,2008,,,,1,0,0,,UNRESOLVED
WWW,2009,https://openalex.org/S4306401596,King Abdullah University of Science and Technology Repository (King Abdullah University of Science and Technology),repository,1,1,1,1.0,RESOLVED
WWW,2010,,,,1,0,0,,UNRESOLVED
WWW,2011,,,,1,0,0,,UNRESOLVED
WWW,2012,https://openalex.org/S4306481413,Universidad de Chile,repository,1,1,1,1.0,RESOLVED
WWW,2013,,,,1,0,0,,UNRESOLVED
WWW,2014,https://openalex.org/S4377196680,IT University Of Copenhagen (IT University of Copenhagen),repository,1,1,1,1.0,RESOLVED
WWW,2015,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
WWW,2016,,,,1,0,0,,UNRESOLVED
WWW,2018,,,,1,0,0,,UNRESOLVED
